Date,T100ECMU Index,SPGSCIP Index,LBUSTRUU Index
1/3/00,0,354.9483,829.39
1/4/00,0,351.5557,832.53
1/5/00,0,348.177,828.84
1/6/00,0,347.9996,831.02
1/7/00,0,344.8884,833.27
1/10/00,0,347.5715,831.98
1/11/00,0,354.7119,828.11
1/12/00,0,359.3785,827.04
1/13/00,0,362.5363,830.78
1/14/00,0,371.5941,829.45
1/17/00,0,371.5941,829.45
1/18/00,0,378.5484,827.44
1/19/00,0,380.4382,828.56
1/20/00,0,383.0523,827.42
1/21/00,0,383.335,828.15
1/24/00,0,380.1758,831.84
1/25/00,0,384.3292,832.09
1/26/00,0,379.897,832.89
1/27/00,0,376.9721,833.28
1/28/00,0,375.9272,833.71
1/31/00,0,379.4752,831.02
2/1/00,0,384.9386,832.85
2/2/00,0,380.4526,833.29
2/3/00,0,383.7982,837.01
2/4/00,0,390.2259,834.8
2/7/00,0,385.2498,832.17
2/8/00,0,379.7496,834.91
2/9/00,0,385.548,832.82
2/10/00,0,391.5429,831.01
2/11/00,0,391.4038,832.34
2/14/00,0,395.3756,835.87
2/15/00,0,394.739,834.92
2/16/00,0,395.828,834.2
2/17/00,0,391.4706,833.98
2/18/00,0,389.7569,836.8
2/21/00,0,389.7569,836.8
2/22/00,0,391.2598,842.3
2/23/00,0,392.8748,839.54
2/24/00,0,396.8343,842.36
2/25/00,0,398.8039,842.26
2/28/00,0,398.0662,839.67
2/29/00,0,401.371,841.07
3/1/00,0,413.4599,841.86
3/2/00,0,412.8205,842.06
3/3/00,0,412.3878,843.75
3/6/00,0,417.3577,842.64
3/7/00,0,430.3058,843.47
3/8/00,0,408.7262,843.32
3/9/00,0,413.1165,843.92
3/10/00,0,411.3193,842.1
3/13/00,0,413.7974,842.9
3/14/00,0,412.1556,843.82
3/15/00,0,406.7561,844.62
3/16/00,0,408.3549,845.8
3/17/00,0,407.7071,847.89
3/20/00,0,395.0271,848.36
3/21/00,0,397.3057,848.94
3/22/00,0,395.768,849.03
3/23/00,0,394.9613,850.33
3/24/00,0,399.4154,846.87
3/27/00,0,399.0767,846.66
3/28/00,0,395.7815,846.7
3/29/00,0,389.1008,846.86
3/30/00,0,391.1954,850.42
3/31/00,0,394.7478,852.15
4/3/00,0,390.5409,853.81
4/4/00,0,380.7296,859.15
4/5/00,0,383.9593,857.83
4/6/00,0,381.7735,856.84
4/7/00,0,378.1225,859
4/10/00,0,368.8862,860.69
4/11/00,0,369.7859,857.32
4/12/00,0,381.6029,854.77
4/13/00,0,382.2736,856.75
4/14/00,0,378.2224,858.42
4/17/00,0,381.1515,855.34
4/18/00,0,383.5003,854.8
4/19/00,0,391.2999,857.34
4/20/00,0,391.4548,857.65
4/21/00,0,391.4548,857.65
4/24/00,0,392.8656,857.55
4/25/00,0,388.749,853.59
4/26/00,0,383.7633,852.97
4/27/00,0,387.2137,849.11
4/28/00,0,389.4158,849.71
5/1/00,0,393.7229,849.15
5/2/00,0,402.867,847.6
5/3/00,0,399.7624,843.89
5/4/00,0,402.2779,840.16
5/5/00,0,402.235,837.8
5/8/00,0,408.7996,836.17
5/9/00,0,414.0667,837.76
5/10/00,0,414.6409,839.81
5/11/00,0,422.6319,840.38
5/12/00,0,425.7727,836.72
5/15/00,0,427.4308,838.67
5/16/00,0,428.6118,840.74
5/17/00,0,429.2134,839.63
5/18/00,0,435.2749,836.75
5/19/00,0,433.7339,838.39
5/22/00,0,425.9383,841.96
5/23/00,0,426.7202,841.55
5/24/00,0,436.9638,841.45
