Date,SPX Index,S5COND Index,S5CONS Index,S5ENRS Index,S5FINL Index,S5HLTH Index,S5INDU Index,S5INFT Index,S5MATR Index,S5TELS Index,S5UTIL Index
1/3/00,1455.22,291.3933,204.23,206.58,307.2,325.12,265.61,829.18,157.24,319.06,138.75
1/4/00,1399.42,282.7505,201.13,202.38,294.54,312.78,257.24,783.43,154.75,304.94,138.91
1/5/00,1402.11,280.0653,201.84,208.56,292.56,319.65,257.2,775.09,160.88,309.15,144.08
1/6/00,1403.45,281.2764,204.38,218.14,304.09,328.78,261.64,744.37,165.6,301.35,146.09
1/7/00,1441.47,290.4922,212.88,220.85,310.73,354.94,270.39,756.69,166.97,301.17,148.39
1/10/00,1457.6,302.3327,210.59,217.7,305.19,347.81,270.56,788.03,164.52,305.31,147.42
1/11/00,1438.56,298.2206,212.76,219.11,301.61,345.3,268.27,768.91,162.07,297.75,146.77
1/12/00,1432.25,294.1038,213.43,216.12,305.86,345.44,268.05,755.71,161.35,301.07,149.5
1/13/00,1449.68,298.1132,212.24,219.62,313.91,349.83,271.3,765.27,161,302.89,150.38
1/14/00,1465.15,296.9036,211.1,217.02,322.52,352.8,268.74,787.39,160.33,305.55,151.68
1/17/00,1465.15,296.9036,211.1,217.02,322.52,352.8,268.74,787.39,160.33,305.55,151.68
1/18/00,1455.14,295.6334,211.75,220.67,311.98,345.77,266.2,790.24,155.75,305.42,149
1/19/00,1455.9,298.1995,210.61,221.11,310.35,349.52,266.54,787.95,154.31,306.19,149.5
1/20/00,1445.57,293.7826,207.46,216.38,303.92,344.35,262.61,795.74,150.38,305.22,154.78
1/21/00,1441.36,291.5108,203.87,220.58,300.17,341.72,261.48,795.6,149,307.55,158.99
1/24/00,1401.53,281.7176,200.8,216.62,295.48,326.61,252.17,771.48,146.28,300.61,156.81
1/25/00,1410.03,283.6643,197.84,215.53,298.91,327.91,251.4,788.95,143.48,298.91,153.01
1/26/00,1404.09,285.3907,197.79,213.09,309.44,330.39,255.62,760.28,143.74,296.89,154.33
1/27/00,1398.56,284.37,196.56,207.39,312.54,331.2,256.58,752.27,144.01,295.32,154.24
1/28/00,1360.16,273.0436,191.98,202.49,300.89,336.44,247.3,726.4,141.69,288.19,152.07
1/31/00,1394.46,274.2822,193.87,209.22,311.09,345.91,248.4,745.4,141.06,311.05,157.63
2/1/00,1409.28,281.3091,193.78,209.12,311.67,345.73,249.79,764.92,143.55,307.53,156.12
2/2/00,1409.12,283.0434,192.27,209.63,308.38,345.21,247.69,772.23,143.62,304.68,154.88
2/3/00,1424.97,285.9377,191.65,206.82,307.63,345.77,251.83,799.41,142.47,301.1,157.3
2/4/00,1424.37,285.459,189,201.4,302.93,345.52,253.11,811.14,141.95,301.35,153.37
2/7/00,1424.24,280.4425,187.99,202.75,300.07,348.37,246.54,821.94,139.4,306.73,153.52
2/8/00,1441.72,286.4669,189.9,200.32,303.55,352.13,247.53,836.08,137.9,311.7,156.11
2/9/00,1411.7,280.1979,188.35,192.26,295.22,342.62,242.38,821.84,136,305.39,155.35
2/10/00,1416.83,280.1746,186.51,196.08,289.01,334.45,242.42,842.87,134.79,308.11,154.71
2/11/00,1387.12,276.8708,184.51,191.65,288.8,324.28,237.56,815.15,132.21,302.01,153.41
2/14/00,1389.94,277.348,182.34,196.15,284.23,328.29,239.83,816.72,133.81,302.3,154.83
2/15/00,1402.05,273.7417,186.28,203.84,290.96,330.85,244.32,819.94,138.38,299.27,155.47
2/16/00,1387.67,264.6194,183.81,205.13,286.26,330.85,241.39,814.8,136.46,298.38,155.57
2/17/00,1388.26,257.4597,183.02,203.87,281.5,328.64,241.53,833.26,135.74,298.85,154.9
2/18/00,1346.09,253.0286,180.08,198.28,271.99,319.48,233.79,804.52,132.04,284.15,152.39
2/21/00,1346.09,253.0286,180.08,198.28,271.99,319.48,233.79,804.52,132.04,284.15,152.39
2/22/00,1352.17,252.5329,182.9,196.19,273.92,323.29,238.89,803.88,135.89,284.24,150.43
2/23/00,1360.69,253.6433,179.81,191.73,272.56,321.05,237.79,834.35,133.12,279.89,148.33
2/24/00,1353.43,247.3667,174.93,188.3,268.93,315.6,236.9,849.56,129.65,276.78,145.04
2/25/00,1333.36,246.0499,171.24,186.09,266.15,308.89,232.51,836.41,127.37,272.57,142.42
2/28/00,1348.05,252.2398,175,191.8,274.19,309.37,234.86,832.44,128.01,277.28,146.08
2/29/00,1366.42,258.2773,174.01,196.1,276.92,309.58,237.5,845.94,127.19,285.92,147.16
3/1/00,1379.19,257.4824,175.51,200.42,280.82,305.31,238.24,857.32,124.83,298.92,146.57
3/2/00,1381.76,256.6491,171.6,202.82,278.08,306.81,239.19,859.01,121.8,310.96,147.51
3/3/00,1409.17,261.3059,173.2,200.29,281.74,307.48,245.29,889.01,127,314.57,148.49
3/6/00,1391.28,255.6083,170.1,196.47,278.66,298.39,242.47,886.81,123.69,311.62,143.95
3/7/00,1355.62,247.9426,155,212.71,269.36,283.19,232.24,871.81,119.02,303.58,144.09
3/8/00,1366.7,249.6304,156.74,209.5,266.56,297.28,233.85,878.89,121.55,306.86,142.18
3/9/00,1401.69,255.737,156.67,212.05,270.07,312.64,237.44,910.4,122.08,314.96,141.65
3/10/00,1395.07,251.8835,151.15,207.13,270.41,312.18,238.54,908.28,122.57,316.72,142.71
3/13/00,1383.62,250.9834,153.08,204.21,272,303.9,235.53,897.32,124.67,313.9,141.39
3/14/00,1359.15,249.0515,150.55,206.18,270.42,296.7,232.36,873.56,121.79,304.8,139.89
3/15/00,1392.15,260.7941,162.42,207.49,287.68,316.5,242.5,860.25,130.04,301.66,145.58
3/16/00,1458.47,276.3336,171.46,215.05,312.85,335.33,254.2,884.13,137.75,312.79,151.5
