Date,SPX Index,S5COND Index,S5CONS Index,S5ENRS Index,S5FINL Index,S5HLTH Index,S5INDU Index,S5INFT Index,S5MATR Index,S5TELS Index,S5UTIL Index,S5AUCO Index,S5CODU Index,S5HOTR Index,S5MEDA Index,S5RETL Index,S5FDSR Index,S5FDBT Index,S5HOUS Index,S5ENRSX Index,S5BANKX Index,S5DIVF Index,S5INSU Index,S5REAL Index,S5HCES Index,S5PHRM Index,S5CPGS Index,S5COMS Index,S5TRAN Index,S5SFTW Index,S5TECH Index,S5SSEQ Index,S5MATRX Index,S5TELSX Index,S5UTILX Index
1/3/00,1455.22,291.3933,204.23,206.58,307.2,325.12,265.61,829.18,157.24,319.06,138.75,198.29,126,224.51,343.83,380.41,214.62,175.27,285.61,206.58,247.81,470.04,268.66,100,165.15,381.32,313.56,148.22,169.08,1006.46,767.74,741.73,157.24,319.06,138.75
1/4/00,1399.42,282.7505,201.13,202.38,294.54,312.78,257.24,783.43,154.75,304.94,138.91,192.04,123.03,220.58,335.74,366.64,211.95,172.94,280.07,202.38,237.37,450.75,257.97,100,162.39,365.1,303.33,144.57,163.89,953.38,724.42,709.17,154.75,304.94,138.91
1/5/00,1402.11,280.0653,201.84,208.56,292.56,319.65,257.2,775.09,160.88,309.15,144.08,191.85,123.15,224.16,330.5,362.04,217.16,174.54,275.93,208.56,237.07,444.11,257.51,100,167.73,372.25,303.14,145.03,163.84,930.52,721.72,704.3,160.88,309.15,144.08
1/6/00,1403.45,281.2764,204.38,218.14,304.09,328.78,261.64,744.37,165.6,301.35,146.09,193.18,123.85,223.89,330.91,364.46,212.26,176.26,284.83,218.14,246.65,464.97,263.7,100,173.89,382.2,307.78,146.8,171.69,887.85,695.39,676.13,165.6,301.35,146.09
1/7/00,1441.47,290.4922,212.88,220.85,310.73,354.94,270.39,756.69,166.97,301.17,148.39,205.7,124.11,225.9,331.91,384.44,215.54,182.73,302,220.85,250.05,471.51,277,100,185.3,413.81,319.52,149.35,173.09,915.49,701.8,697.9,166.97,301.17,148.39
1/10/00,1457.6,302.3327,210.59,217.7,305.19,347.81,270.56,788.03,164.52,305.31,147.42,204.37,124.46,231.67,376.21,383.21,215.6,178.81,302.81,217.7,242.05,471.81,269.78,100,182.57,405.01,319.47,149.38,174.86,941.31,735.63,737.71,164.52,305.31,147.42
1/11/00,1438.56,298.2206,212.76,219.11,301.61,345.3,268.27,768.91,162.07,297.75,146.77,198.87,124.91,233.79,368.91,378.46,217.96,181.06,304.72,219.11,237.25,469.83,266.64,100,182.32,401.56,316.33,148.62,175.13,906.24,722.6,746.58,162.07,297.75,146.77
1/12/00,1432.25,294.1038,213.43,216.12,305.86,345.44,268.05,755.71,161.35,301.07,149.5,204.89,123.15,235.23,357.42,373.48,221.07,181.78,303.97,216.12,241.17,475.67,270.12,100,181.12,402.35,315.97,149.32,173.97,869.05,718.71,765.23,161.35,301.07,149.5
1/13/00,1449.68,298.1132,212.24,219.62,313.91,349.83,271.3,765.27,161,302.89,150.38,205.12,124.53,236.9,368.03,375.72,222.3,180.56,301.53,219.62,249.52,485.45,276.26,100,185.98,406.2,319.98,151.03,175.25,882.49,726.84,763.88,161,302.89,150.38
1/14/00,1465.15,296.9036,211.1,217.02,322.52,352.8,268.74,787.39,160.33,305.55,151.68,207.21,124.05,238.08,365.16,373.53,216.07,179.32,303.36,217.02,257.22,500.64,280.26,100,184.05,411.38,316.74,149.88,174.38,902.44,750.04,843.48,160.33,305.55,151.68
