Date,SPX Index,S5COND Index,S5CONS Index,S5ENRS Index,S5FINL Index,S5HLTH Index,S5INDU Index,S5INFT Index,S5MATR Index,S5TELS Index,S5UTIL Index,S5AUCO Index,S5CODU Index,S5HOTR Index,S5MEDA Index,S5RETL Index,S5FDSR Index,S5FDBT Index,S5HOUS Index,S5ENRSX Index,S5BANKX Index,S5DIVF Index,S5INSU Index,S5REAL Index,S5HCES Index,S5PHRM Index,S5CPGS Index,S5COMS Index,S5TRAN Index,S5SFTW Index,S5TECH Index,S5SSEQ Index,S5MATRX Index,S5TELSX Index,S5UTILX Index
1/3/00,1014411712,118325296,52750700,32471400,107485800,87981400,73727000,406803200,31856100,75211504,27610000,9290900,12535100,10602800,26889700,58177300,16269700,27393000,9088000,32471400,49091700,44176000,14218100,0,29474700,58506700,46573400,18475200,8678400,120394400,286408800,0,31856100,75211500,27610000
1/4/00,1088000256,124138704,57169000,39073600,137883200,93509696,77813296,427588096,35421400,70593200,24456200,11985300,12535100,9153400,35197600,55267300,17091300,30461400,9616300,39073600,64744800,53664700,19473700,0,26933700,66576000,45330500,20775000,11707800,160863600,266724496,0,35421400,70593200,24456200
1/5/00,1281538944,134868096,63871200,40988900,124799600,95413696,84815600,573940480,44969500,85297504,32138500,9570100,12159700,11698900,47106300,54333100,15994300,36539100,11337800,40988900,57210100,47733100,19856400,0,30720700,64693000,56119100,17732400,10964100,230501696,343438784,0,44969500,85297500,32138500
1/6/00,1197224320,131631600,65686100,49650400,118153200,97728400,89906600,454786400,54787400,105901200,28362800,10046800,14006600,12476600,32951200,62150400,20755700,30748900,14181500,49650400,53012100,47522700,17618400,0,39632800,58095600,54619100,14166300,21121200,189104304,265682096,0,54787400,105901200,28362800
1/7/00,1303269504,121964200,75728200,42808300,98845696,134970096,82702096,583367808,50988900,85897504,25648000,13261400,12196300,11184300,30833900,54488300,21377600,39167900,15182700,42808300,44369500,35798700,18677500,0,52100600,82869504,55523700,14604700,12573700,159700992,423666816,0,50988900,85897500,25648000
1/10/00,1118983936,176827600,56835900,30373100,88030496,83822304,60206600,484355104,34255600,84645600,19383100,11059800,11296700,12599000,89560704,52311400,17720200,27836200,11279500,30373100,39497600,27096900,21436000,0,33662200,50160100,35955000,15250200,9001400,180836400,303518688,0,34255600,84645600,19383100
1/11/00,1128259456,148448992,57204900,30326200,91548896,85770200,61298400,464060800,36229200,131292200,21904000,9945100,12670400,11203600,61970300,52659600,17763800,27975900,11465200,30326200,42854700,29207300,19486900,0,33360100,52410100,38568400,12628100,10101900,180228800,283832000,0,36229200,131292200,21904000
1/12/00,1096179072,129383600,66566400,32130700,93454304,75763200,65044500,436992192,38486200,132294000,25864400,11974800,12271500,14971300,46209400,43956600,26273800,30016500,10276100,32130700,43465600,31134400,18854300,0,26695300,49067900,44350300,12715600,7978600,161424496,275567712,0,38486200,132294004,25864400
1/13/00,1033687488,115523800,59208600,38591800,115017904,106076304,68844200,379824896,36090100,89726800,24589500,8927500,13082600,10421000,34983000,48109700,23625800,23619100,11963700,38591800,52060100,44147800,18810000,0,35920900,70155400,42592700,13106400,13145100,146176400,233648496,0,36090100,89726800,24589500
1/14/00,1174890624,128571696,66458000,36898800,131845104,89033600,70273504,504520800,38366100,83555000,25218000,14262700,13210300,8813600,40633000,51652100,19565200,35612800,11280000,36898800,63878900,47989400,19976800,0,28649200,60384400,43764400,15485900,11023200,134205504,370315296,0,38366100,83555000,25218000
