Date,SPXT Index,SPTRCOND Index,SPTRCONS Index,SPTRENRS Index,SPTRFINL Index,SPTRHLTH Index,SPTRINDU Index,SPTRINFT Index,SPTRMATR Index,SPTRTELS Index,SPTRUTIL Index
1/3/00,2002.1132,312.54,225.45,239.65,341.86,351.46,289.37,843.2238,174.11,364.57,177.73
1/4/00,1925.4073,303.27,222.03,234.78,327.87,338.12,280.25,796.7034,171.36,348.44,177.93
1/5/00,1929.2777,300.39,222.84,241.96,325.7,345.76,280.23,788.2221,178.14,353.25,184.54
1/6/00,1931.5067,301.7,225.67,253.09,338.61,355.63,285.07,756.982,183.36,344.97,187.18
1/7/00,1983.832,311.59,235.06,256.22,346.01,383.93,294.59,769.5071,184.88,344.77,190.12
1/10/00,2006.0696,324.29,232.53,252.57,339.89,376.22,294.78,801.3792,182.17,349.5,188.88
1/11/00,1979.9243,319.88,234.92,254.21,335.9,373.5,292.29,781.9357,179.46,340.99,188.05
1/12/00,1971.3595,315.47,235.7,250.74,340.68,373.73,292.06,768.5097,178.67,344.79,191.58
1/13/00,1995.3502,319.77,234.38,254.81,349.65,378.49,295.6,778.2358,178.28,346.88,192.71
1/14/00,2016.6433,318.47,233.13,251.79,359.24,381.69,292.82,800.7274,177.53,349.93,194.38
1/17/00,2016.6433,318.47,233.13,251.79,359.24,381.69,292.82,800.7274,177.53,349.93,194.38
1/18/00,2002.8846,317.11,233.84,256.02,347.5,374.09,290.07,803.6273,172.46,349.77,190.94
1/19/00,2004.0203,319.86,232.69,256.53,345.71,378.15,290.44,801.2973,170.86,350.65,191.58
1/20/00,1989.8066,315.12,229.22,251.04,338.54,372.56,286.16,809.2239,166.52,349.55,198.34
1/21/00,1984.0117,312.69,225.25,255.91,334.37,369.71,284.93,809.0817,164.99,352.21,203.74
1/24/00,1929.2014,302.18,221.88,251.32,329.14,353.36,274.78,784.5532,161.97,344.26,200.94
1/25/00,1940.9016,304.27,218.61,250.05,332.97,354.77,273.95,802.3202,158.87,342.32,196.07
